producto,categoria,descripcion,precio,descuento,disponible,popular,foto
Gorras abiertas,Indumentaria,"PRECIO EN CUP\nGorras abiertas de diferentes colores, por favor especifique el color que desea al enviar el pedido por WhatsApp",4500,0,Si,No,mrk5nyfl8byoiy.jpg
Nevera MILEXUS 6,Electrodomésticos,PRECIO EN USD • GARANTÍA 30 DÍAS\nNevera de 6 pies,255,0,Si,No,mrk4twf4psl7yw.jpg
Olla Eléctrica Multipropósito GWELL,Electrodomésticos,PRECIO EN CUP • GARANTÍA 30 DÍAS\nOlla de presión eléctrica multipropósito\nCapacidad 5L,35000,0,Si,No,mrk4b6nymen09f.jpg
Cocina Infrarroja STELECTRIC,Electrodomésticos,PRECIO EN CUP\nCocina infrarroja de 2000W\nCon placa de vitrocerámica facil de limpiar,25000,0,Si,Si,mrk3z367t5g62b.jpg
Lavadora Semiautomática MILEXUS,Electrodomésticos,PRECIO EN USD • GARANTÍA 30 DÍAS\nCapacidad 9kg\nLavadora/Centrífugadora,225,0,Si,Si,mrk3sieubp6jma.jpg
Aire Acondicionado MILEXUS,Electrodomésticos,"PRECIO EN USD • GARANTÍA 30 DÍAS\nSplit convencional de 1T, 220v",285,0,Si,No,mrk3k6131bs5rm.jpg
SmartTV Royal 43',Electrodomésticos,PRECIO EN USD • GARANTÍA 30 DÍAS\nSmartTV LED FHD\nBluetooth y Wi-Fi\nHDMI y entrada USB\nConexión a Internet,255,0,Si,No,mrk3esnieaua3v.jpg
Licuadora MILEXUS,Electrodomésticos,PRECIO EN USD\nLicuadora con vaso de vidrio,45,0,Si,No,mrk32qrhr8tws1.jpg
Ventilador de Pared EKO,Electrodomésticos,PRECIO EN CUP • GARANTÍA 7 DÍAS\nVentilador de pared de 16 pulgadas,23500,0,Si,No,mrk30i7yaarcoc.jpg
Olla de Presión 3 válvulas,Electrodomésticos,PRECIO EN CUP\nOlla de prsion de acero inoxidable con 3 válvulas,18500,0,Si,No,mrk28x0gs4a4ss.jpg
Freidora de Aire MILEXUS,Electrodomésticos,PRECIO EN USD • GARANTÍA 15 DÍAS,95,0,Si,No,mrjxhnvmuaq8i4.jpg
Horno Microondas ROYAL,Electrodomésticos,PRECIO EN USD • GARANTÍA 30 DÍAS\n6 niveles preprogramados de cocción\nSistema de seguridad para niños,130,0,No,No,mrjxazb33w2vz2.jpg
Olla arrocera EKO,Electrodomésticos,PRECIO EN CUP • GARANTÍA 30 DÍAS\nCapacidad de 1.8L,20500,0,Si,Si,mrk4ky7890fhr5.jpg
Licuadora EKO,Electrodomésticos,PRECIO EN CUP • GARANTÍA 7 DÍAS\nLicuadora con vaso de acrílico resistente\nCapacidad 1.5L,20500,0,Si,No,mrjwncdesyidhv.jpg
Ventilador Recargable EKO,Electrodomésticos,PRECIO EN USD\nCapacidad: 9000mAh\n3 velocidades\nDuracion: 8h a 45h según uso y velocidades\nConector USB\nLuz LED integrada\nPosibilidad de ponerle panel solar (no incluido),85,75,Si,Si,mrjvmwsdefc3lh.jpg
